29,158.97
38,221.24
33,114.52
244,159.81
61,112.56
120,73.483
235,70.613
175,86.554
74,118.68
98,102.54
21,101.43
150,140.57
55,131.64
108,92.241
62,110.79
99,92.263
329,102.89
180,67.656
268,129.41
214,74.907
38,124.79
283,122.27
337,117.72
189,64.889
135,78.963
182,92.104
97,84.041
198,167.11
198,69.051
40,106.85
298,125.62
86,76.384
273,123.48
89,101.85
254,159.85
261,117.28
151,63.146
308,131.78
18,222
203,126.23
201,85.99
33,221.36
94,111.67
87,116.1
114,117.6
227,145.93
184,178.74
116,139.14
100,117.63
140,129.82
245,144.88
142,140.25
150,127.26
55,132.2
56,153.16
183,116.6
83,138.66
21,176.76
297,131.61
272,133.62
203,96.365
112,118.64
188,173.71
162,98.068
207,165.15
62,141.9
140,88.243
69,131.62
105,113.73
73,134.14
68,138.16
107,99.243
229,164.96
131,122.28
129,104.26
376,183.03
125,58.104
62,137.34
51,131.69
256,148.73
97,123.81
268,176.39
397,170.18
101,97.059
233,161.15
365,121.96
152,130.52
37,149.78
169,136.18
294,135.7
250,126.94
585,182.04
170,109.35
228,103.21
120,94.533
213,181.91
291,127.33
62,119.58
